Star,Type,Atmosphere,T(K),Flux(S_earth),SemMaj(mAU),R(R_earth),Pressure(bar),O2,H2O,CO,CO2,O3,N2,N2CALC,CH4,O2,H2O,CO,CO2,O3,N2,N2CALC,CH4,Source
AD Leo,M,Archean,310,0.8,1000,1,1,1.00E-08,3.89E-03,1.78E-04,1.01E-02,0,0,9.84E-01,2.02E-03,1.00E-08,1.98E-07,5.23E-03,9.76E-03,0.00E+00,0.00E+00,9.85E-01,6.86E-05,Arney 2017
AD Leo,M,ArcheanHaze,317,0.8,1000,1,1,1.00E-08,3.89E-03,1.78E-04,1.01E-02,0,0,9.84E-01,2.02E-03,1.00E-08,1.98E-07,5.23E-03,9.76E-03,0.00E+00,0.00E+00,9.85E-01,6.86E-05,Arney 2017
AD Leo,M,E-type,298,1,1000,1,1,8.72E-03,1.00E-02,1.05E-02,4.85E-02,0.00E+00,8.97E-01,9.22E-01,4.37E-04,1.94E-02,1.16E-05,1.64E-02,6.42E-03,1.24E-08,6.57E-01,9.58E-01,5.04E-07,Schwieterman 2016
Modern Sol,G,ModernEarth,298,1,1000,1,1,2.10E-01,1.00E-04,0.00E+00,3.85E-04,1.00E-05,7.81E-01,7.90E-01,1.82E-06,2.09E-01,4.60E-06,1.29E-06,3.94E-04,6.39E-08,7.81E-01,7.91E-01,1.50E-07,Lustig-Yaeger
Modern Sol,G,Archean,272,0.8,1000,1,1,1.00E-08,3.89E-03,1.78E-04,1.01E-02,0,0,9.84E-01,2.02E-03,1.00E-08,1.98E-07,5.23E-03,9.76E-03,0.00E+00,0.00E+00,9.85E-01,6.86E-05,Arney 2017
Early Sol,G,Archean,298,1,1000,1,1,1.00E-08,3.89E-03,1.78E-04,1.01E-02,0,0,9.84E-01,2.02E-03,1.00E-08,1.98E-07,5.23E-03,9.76E-03,0.00E+00,0.00E+00,9.85E-01,6.86E-05,Arney 2017
Early Sol,G,ArcheanHaze,299,0.8,1000,1,1,1.00E-08,3.89E-03,1.78E-04,1.01E-02,0,0,9.84E-01,2.02E-03,1.00E-08,1.98E-07,5.23E-03,9.76E-03,0.00E+00,0.00E+00,9.85E-01,6.86E-05,Arney 2017
Epsilon Eridani,K2,Archean,297,0.8,1000,1,1,1.00E-08,3.89E-03,1.78E-04,1.01E-02,0,0,9.84E-01,2.02E-03,1.00E-08,1.98E-07,5.23E-03,9.76E-03,0.00E+00,0.00E+00,9.85E-01,6.86E-05,Arney 2017
Epsilon Eridani,K2,ArcheanHaze,282,0.8,1000,1,1,1.00E-08,3.89E-03,1.78E-04,1.01E-02,0,0,9.84E-01,2.02E-03,1.00E-08,1.98E-07,5.23E-03,9.76E-03,0.00E+00,0.00E+00,9.85E-01,6.86E-05,Arney 2017
Proxima Cen b,M,Archean,278,0.66,48.5,1.074,1,1.00E-08,5.80E-03,1.37E-08,5.02E-02,0,9.35E-01,9.34E-01,1.02E-02,4.36E-04,0.00E+00,3.06E-02,5.02E-02,0.00E+00,9.14E-01,9.18E-01,8.01E-04,Meadows 2018
